"","ATC5","ATC5Description"
"74","C07BB","Beta blocking agents, selective, and thiazides"
"75","C07CA","Beta blocking agents, non-selective and other diuretics"
"76","C08CA","Dihydropyridine derivatives"
"77","C08DA","Phenylalkylamine derivatives"
"78","C09AA","ACE inhibitors, plain"
"79","C09BA","ACE inhibitors and diuretics"
"80","C09BB","ACE inhibitors and calcium channel blockers"
"81","C09BX","ACE inhibitors, other combinations"
"82","C09CA","Angiotensin II antagonists, plain"
"83","C09DA","Angiotensin II antagonists and diuretics"
"84","C09DB","Angiotensin II antagonists and calcium channel blockers"
"85","C09DX","Angiotensin II antagonists, other combinations"
"86","C09XA","Renin-inhibitors"
"87","C10AA","HMG CoA reductase inhibitors"
"88","C10AB","Fibrates"
"89","C10AD","Nicotinic acid and derivatives"
"90","C10AX","Other cholesterol and triglyceride reducers"
"91","C10BA","HMG CoA reductase inhibitors in combination with other lipid modifying agents"
"92","C10BX","HMG CoA reductase inhibitors, other combinations"
"93","D01AC","Imidazole derivatives"
"94","D01AE","Other antifungals for topical use"
"95","D01BA","Antifungals for systemic use"
"96","D02AE","Carbamide products"
"97","D03AX","Other cicatrizants"
"98","D05AX","Other antipsoriatics for topical use"
"99","D06AX","Other antibiotics for topical use"
"100","D06BA","Sulfonamides"
"101","D06BB","Antivirals"
"102","D06BX","Other chemotherapeutics"
"103","D07AB","Corticosteroids, moderately potent (group II)"
"104","D07AC","Corticosteroids, potent (group III)"
"105","D07CC","Corticosteroids, potent, combinations with antibiotics"
"106","D07XB","Corticosteroids, moderately potent, other combinations"
"107","D07XC","Corticosteroids, potent, other combinations"
"108","D09AA","Ointment dressings with antiinfectives"
"109","D09AB","Zinc bandages"
"110","D10AF","Antiinfectives for treatment of acne"
"111","D10AX","Other anti-acne preparations for topical use"
"112","D11AX","Other dermatologicals"
"113","G01AA","Antibiotics"
"114","G01AF","Imidazole derivatives"
"115","G01AX","Other antiinfectives and antiseptics"
"116","G02BA","Intrauterine contraceptives"
"117","G02CB","Prolactine inhibitors"
"118","G03AA","Progestogens and estrogens, fixed combinations"
"119","G03BA","3-oxoandrosten (4) derivatives"
"120","G03CA","Natural and semisynthetic estrogens, plain"
"121","G03HA","Antiandrogens, plain preparations"
"122","G03XC","Selective estrogen receptor modulators"
"123","G04BC","Urinary concrement solvents"
"124","G04BD","Urinary antispasmodics"
"125","G04BE","Drugs used in erectile dysfunction"
"126","G04CA","Alpha-adrenoreceptor antagonists"
"127","G04CB","Testosterone-5-alpha reductase inhibitors"
"128","H02AB","Glucocorticoids"
"129","H03AA","Thyroid hormones"
"130","H03BA","Thiouracils"
"131","H03BB","Sulfur-containing imidazole derivatives"
"132","H04AA","Glycogenolytic hormones"
"133","H05BA","Calcitonin preparations"
"134","H05BX","Other anti-parathyroid agents"
"135","J01AA","Tetracyclines"
"136","J01CA","Penicillins with extended spectrum"
"137","J01CE","Beta-lactamase sensitive penicillins"
"138","J01CF","Beta-lactamase resistant penicillins"
"139","J01CR","Combinations of penicillins, incl. beta-lactamase inhibitors"
"140","J01DA","Cephalosporins and related substances"
"141","J01DB","First-generation cephalosporins"
"142","J01DC","Second-generation Cephalosporins"
"143","J01DD","Third-generation cephalosporins"
"144","J01EE","Combinations of sulfonamides and trimethoprim, incl. derivatives"
"145","J01FA","Macrolides"
"146","J01FF","Lincosamides"
"147","J01MA","Fluoroquinolones"
"148","J01XE","Nitrofuran derivatives"
"149","J01XX","Other antibacterials"
"150","J02AC","Triazole derivatives"
"151","J05AB","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"152","J05AE","Protease inhibitors"
"153","J05AH","Neuraminidase inhibitors"
"154","L01AA","Nitrogen mustard analogues"
"155","L01BA","Folic acid analogues"
"156","L01BB","Purine analogues"
"157","L01BC","Pyrimidine analogues"
"158","L01XE","Protein kinase inhibitors"
"159","L01XX","Other antineoplastic agents"
"160","L02AB","Progestogens"
"161","L02AE","Gonadotropin releasing hormone analogues"
"162","L02BA","Anti-estrogens"
"163","L02BB","Anti-androgens"
"164","L02BG","Enzyme inhibitors"
"165","L03AA","Colony stimulating factors"
"166","L04AA","Selective immunosuppressive agents"
"167","M01AB","Butylpyrazolidines"
"168","M01AC","Oxicams"
"169","M01AE","Propionic acid derivatives"
"170","M01AH","Coxibs"
"171","M01AX","Other antiinflammatory and antirheumatic agents, non-steroids"
"172","M02AA","Antiinflammatory preparations, non-steroids for topical use"
"173","M03BX","Other centrally acting agents"
"174","M04AA","Preparations inhibiting uric acid production"
"175","M05BA","Bisphosphonates"
"176","M05BB","Bisphosphonates and calcium, sequential preparations"
"177","M05BX","Other drugs affecting mineralization"
"178","M09AX","Other drugs for disorders of the musculo-skeletal system"
"179","N01BB","Amides"
"180","N02AA","Natural opium alkaloids"
"181","N02AB","Phenylpiperidine derivatives"
"182","N02AE","Oripavine derivatives"
"183","N02AX","Other opioids"
"184","N02BA","Salicylic acid and derivatives"
"185","N02BB","Pyrazolones"
"186","N02BE","Anilides"
"187","N02CA","Ergot alkaloids"
"188","N02CC","Selective 5HT1-receptor agonists"
"189","N03A","Antiepileptics"
"190","N03AA","Barbiturates and derivatives"
"191","N03AE","Benzodiazepine derivatives"
"192","N03AF","Carboxamide derivatives"
"193","N03AG","Fatty acid derivatives"
"194","N03AX","Other antiepileptics"
"195","N04AA","Tertiary amines"
"196","N04BA","Dopa and dopa derivatives"
"197","N04BC","Dopamine agonists"
"198","N04BD","Monoamine oxidase type B inhibitors"
"199","N05AA","Phenothiazines with aliphatic side-chain"
"200","N05AB","Phenothiazines with piperazine structure"
"201","N05AD","Butyrophenone derivatives"
"202","N05AE","Indole derivatives"
"203","N05AF","Thioxanthene derivatives"
"204","N05AH","Diazepines, oxazepines and thiazepines"
"205","N05AL","Benzamides"
"206","N05AX","Other antipsychotics"
"207","N05BA","Benzodiazepine derivatives"
"208","N05CD","Benzodiazepine derivatives"
"209","N05CF","Benzodiazepine related drugs"
"210","N05CH","Melatonin receptor agonists"
"211","N05CM","Other hypnotics and sedatives"
"212","N06AA","Non-selective monoamine reuptake inhibitors"
"213","N06AB","Selective serotonin reuptake inhibitors"
"214","N06AG","Monoamine oxidase type A inhibitors"
"215","N06AX","Other antidepressants"
"216","N06BX","Other psychostimulants and nootropics"
"217","N06DA","Anticholinesterases"
"218","N06DX","Other anti-dementia drugs"
"219","N07AA","Anticholinesterases"
"220","N07CA","Antivertigo preparations"
"221","P01AB","Nitroimidazole derivatives"
"222","P02CA","Benzimidazole derivatives"
"223","P03AC","Pyrethrines, incl. synthetic compounds"
"224","R01AA","Sympathomimetics, plain"
"225","R01AD","Corticosteroids"
"226","R01BA","Sympathomimetics"
"227","R02AA","Antiseptics"
"228","R03AC","Selective beta-2-adrenoceptor agonists"
"229","R03AK","Adrenergics and other anti-asthmatics"
"230","R03AL","Adrenergics in combination with anticholinergics"
"231","R03BA","Glucocorticoids"
"232","R03BB","Anticholinergics"
"233","R03CC","Selective beta-2-adrenoceptor agonists"
"234","R03DA","Xanthines"
"235","R03DC","Leukotriene receptor antagonists"
"236","R05CB","Mucolytics"
"237","R05DA","Opium alkaloids and derivatives"
"238","R05DB","Other cough suppressants"
"239","R06AD","Phenothiazine derivatives"
"240","R06AE","Piperazine derivatives"
"241","R06AX","Other antihistamines for systemic use"
"242","R07AX","Other respiratory system products"
"243","S01AA","Antibiotics"
"244","S01AD","Antivirals"
"245","S01AX","Other antiinfectives"
"246","S01BA","Corticosteroids, plain"
"247","S01BC","Antiinflammatory agents, non-steroids"
"248","S01CA","Corticosteroids and antiinfectives in combination"
"249","S01EA","Sympathomimetics in glaucoma therapy"
"250","S01EC","Carbonic anhydrase inhibitors"
"251","S01ED","Beta blocking agents"
"252","S01EE","Prostaglandin analogues"
"253","S01GX","Other antiallergics"
"254","S01XA","Other ophthalmologicals"
"255","V03AE","Drugs for treatment of hyperkalemia"
"256","V06","General nutrients"
"257","V06DB","Fat/carbohydrates/proteins/minerals/vitamins, combinations"
